39,39
264,102
221,235
257,82
235,221
223,233
267,123
257,185
221,32
209,23
265,158
238,218
259,85
223,34
260,178
209,23
266,116
267,137
266,151
231,41
250,67
233,223
256,79
218,238
254,76
226,36
261,175
240,215
264,102
212,25
266,154
223,233
265,106
267,119
248,204
244,209
259,182
206,21
264,165
262,172
228,39
263,99
262,95
260,89
240,215
266,113
223,34
254,191
250,200
248,204
235,46
238,49
248,63
231,226
226,231
265,109
263,168
267,130
215,27
218,29
226,36
265,109
246,206
266,116
221,32
253,194
267,123
218,29
256,188
250,200
240,52
262,95
221,235
259,85
250,67
228,228
267,130
209,23
267,141
267,148
265,161
264,165
185,10
262,172
231,226
238,218
251,70
233,44
267,144
197,16
263,168
228,228
266,116
212,242
256,79
209,244
263,99
223,233
260,89
212,25
260,178
259,182
256,188
206,21
265,161
200,17
268,134
267,126
261,175
194,14
266,154
221,32
263,99
235,46
267,130
233,223
260,178
200,17
267,141
268,134
267,119
206,21
267,137
235,221
265,109
212,25
265,158
165,3
267,148
182,8
263,168
175,6
268,134
267,148
218,238
261,92
200,250
259,85
215,27
266,151
144,0
267,144
188,11
265,161
158,2
266,154
226,231
264,102
212,242
259,85
248,63
244,58
254,76
215,240
260,89
231,41
223,34
265,106
231,226
265,158
151,1
268,134
212,25
266,113
226,231
218,238
263,99
178,260
265,106
231,41
238,49
242,55
242,212
244,209
250,200
204,19
267,123
228,228
265,161
251,197
235,221
257,185
209,23
266,113
161,2
221,235
266,151
130,0
63,19
58,23
102,3
267,137
168,4
223,233
158,2
267,119
185,10
267,126
113,1
41,36
52,27
106,2
268,134
133,0
32,46
116,1
267,144
215,240
257,82
8,85
259,85
197,251
263,99
215,27
246,61
2,106
248,63
46,32
109,2
13,76
260,89
191,254
262,95
206,246
256,79
10,82
126,0
119,0
267,141
165,3
221,235
267,119
137,0
29,49
21,61
141,0
266,154
172,5
178,7
264,102
168,4
14,194
261,175
16,197
2,161
66,17
73,14
95,5
267,137
123,0
267,123
215,240
265,106
165,3
218,238
206,21
254,76
5,95
251,70
253,73
228,39
